--- Start BURT header
CTOF Calibration HV recalculation
Date and time: Aug 14 2017 15:43:37
Login ID: louise
Input HV file: /home/louise/FTOF_calib_rewrite/input_files/epics_examples/CTOF_HV-2016_06_15-07_53_07.snp
--- End BURT header
B_DET_CTOF_HV_U01:vset 1 2.07452+e03
B_DET_CTOF_HV_U02:vset 1 2.05975+e03
B_DET_CTOF_HV_U03:vset 1 2.13281+e03
B_DET_CTOF_HV_U04:vset 1 2.12416+e03
B_DET_CTOF_HV_U05:vset 1 1.89974+e03
B_DET_CTOF_HV_U06:vset 1 2.00029+e03
B_DET_CTOF_HV_U07:vset 1 2.08676+e03
B_DET_CTOF_HV_U08:vset 1 2.06569+e03
B_DET_CTOF_HV_U09:vset 1 1.91412+e03
B_DET_CTOF_HV_U10:vset 1 2.04812+e03
B_DET_CTOF_HV_U11:vset 1 2.33766+e03
B_DET_CTOF_HV_U12:vset 1 2.00465+e03
B_DET_CTOF_HV_U13:vset 1 2.12727+e03
B_DET_CTOF_HV_U14:vset 1 2.12332+e03
B_DET_CTOF_HV_U15:vset 1 2.12655+e03
B_DET_CTOF_HV_U16:vset 1 2.04514+e03
B_DET_CTOF_HV_U17:vset 1 1.80910+e03
B_DET_CTOF_HV_U18:vset 1 1.85990+e03
B_DET_CTOF_HV_U19:vset 1 1.83172+e03
B_DET_CTOF_HV_U20:vset 1 1.84088+e03
B_DET_CTOF_HV_U21:vset 1 1.79202+e03
B_DET_CTOF_HV_U22:vset 1 1.83244+e03
B_DET_CTOF_HV_U23:vset 1 1.74289+e03
B_DET_CTOF_HV_U24:vset 1 1.98235+e03
B_DET_CTOF_HV_U25:vset 1 1.56868+e03
B_DET_CTOF_HV_U26:vset 1 1.90951+e03
B_DET_CTOF_HV_U27:vset 1 1.76546+e03
B_DET_CTOF_HV_U28:vset 1 1.81620+e03
B_DET_CTOF_HV_U29:vset 1 1.87015+e03
B_DET_CTOF_HV_U30:vset 1 2.01454+e03
B_DET_CTOF_HV_U31:vset 1 1.78745+e03
B_DET_CTOF_HV_U32:vset 1 1.99691+e03
B_DET_CTOF_HV_U33:vset 1 1.71901+e03
B_DET_CTOF_HV_U34:vset 1 1.96788+e03
B_DET_CTOF_HV_U35:vset 1 1.83471+e03
B_DET_CTOF_HV_U36:vset 1 2.06813+e03
B_DET_CTOF_HV_U37:vset 1 1.80852+e03
B_DET_CTOF_HV_U38:vset 1 1.65452+e03
B_DET_CTOF_HV_U39:vset 1 1.87974+e03
B_DET_CTOF_HV_U40:vset 1 1.95839+e03
B_DET_CTOF_HV_U41:vset 1 1.98816+e03
B_DET_CTOF_HV_U42:vset 1 2.04524+e03
B_DET_CTOF_HV_U43:vset 1 1.82990+e03
B_DET_CTOF_HV_U44:vset 1 1.92971+e03
B_DET_CTOF_HV_U45:vset 1 2.05455+e03
B_DET_CTOF_HV_U46:vset 1 2.06721+e03
B_DET_CTOF_HV_U47:vset 1 1.94287+e03
B_DET_CTOF_HV_U48:vset 1 2.09303+e03
B_DET_CTOF_HV_D01:vset 1 1.87924+e03
B_DET_CTOF_HV_D02:vset 1 2.07794+e03
B_DET_CTOF_HV_D03:vset 1 1.96634+e03
B_DET_CTOF_HV_D04:vset 1 1.84454+e03
B_DET_CTOF_HV_D05:vset 1 1.70413+e03
B_DET_CTOF_HV_D06:vset 1 2.03687+e03
B_DET_CTOF_HV_D07:vset 1 2.07939+e03
B_DET_CTOF_HV_D08:vset 1 1.90557+e03
B_DET_CTOF_HV_D09:vset 1 1.93546+e03
B_DET_CTOF_HV_D10:vset 1 1.98505+e03
B_DET_CTOF_HV_D11:vset 1 2.08085+e03
B_DET_CTOF_HV_D12:vset 1 1.77093+e03
B_DET_CTOF_HV_D13:vset 1 1.85514+e03
B_DET_CTOF_HV_D14:vset 1 1.89726+e03
B_DET_CTOF_HV_D15:vset 1 1.88155+e03
B_DET_CTOF_HV_D16:vset 1 1.98875+e03
B_DET_CTOF_HV_D17:vset 1 1.80815+e03
B_DET_CTOF_HV_D18:vset 1 1.80266+e03
B_DET_CTOF_HV_D19:vset 1 1.91125+e03
B_DET_CTOF_HV_D20:vset 1 1.78306+e03
B_DET_CTOF_HV_D21:vset 1 1.82662+e03
B_DET_CTOF_HV_D22:vset 1 1.79074+e03
B_DET_CTOF_HV_D23:vset 1 1.75141+e03
B_DET_CTOF_HV_D24:vset 1 1.58784+e03
B_DET_CTOF_HV_D25:vset 1 1.90223+e03
B_DET_CTOF_HV_D26:vset 1 1.77593+e03
B_DET_CTOF_HV_D27:vset 1 1.86895+e03
B_DET_CTOF_HV_D28:vset 1 1.99520+e03
B_DET_CTOF_HV_D29:vset 1 1.88339+e03
B_DET_CTOF_HV_D30:vset 1 2.07422+e03
B_DET_CTOF_HV_D31:vset 1 1.87188+e03
B_DET_CTOF_HV_D32:vset 1 1.74417+e03
B_DET_CTOF_HV_D33:vset 1 1.80661+e03
B_DET_CTOF_HV_D34:vset 1 1.75660+e03
B_DET_CTOF_HV_D35:vset 1 1.73630+e03
B_DET_CTOF_HV_D36:vset 1 1.80732+e03
B_DET_CTOF_HV_D37:vset 1 1.75042+e03
B_DET_CTOF_HV_D38:vset 1 1.95632+e03
B_DET_CTOF_HV_D39:vset 1 1.65499+e03
B_DET_CTOF_HV_D40:vset 1 1.69964+e03
B_DET_CTOF_HV_D41:vset 1 1.77406+e03
B_DET_CTOF_HV_D42:vset 1 1.81681+e03
B_DET_CTOF_HV_D43:vset 1 1.93001+e03
B_DET_CTOF_HV_D44:vset 1 1.87620+e03
B_DET_CTOF_HV_D45:vset 1 1.77935+e03
B_DET_CTOF_HV_D46:vset 1 1.75249+e03
B_DET_CTOF_HV_D47:vset 1 1.80671+e03
B_DET_CTOF_HV_D48:vset 1 1.95448+e03
